id	axis	agent	class	mechanism	genotype_fit	best_evidence	identifier	evidence_tier	stage_2026	cns_penetration	key_risk	verdict	notes
A11	A-restore	G418 / geneticin	Aminoglycoside TRID	Most potent readthrough aminoglycoside in vitro; partially inhibits NMD	Benchmark	Universal positive control; among the most effective in patient organoids	PMID 41917975	E6	Research reagent only	n/a	Too cytotoxic for systemic human use	POSITIVE CONTROL	In vitro benchmark
A12	A-restore	Ataluren (PTC124 / Translarna)	Small molecule TRID	Claimed promotion of near-cognate tRNA selection	N/A - activity not replicated	NEGATIVE: original signal explained by PTC124-AMP being a firefly-luciferase adduct inhibitor (Kd 120 pM); no activity across a diverse reporter panel while G418 worked everywhere; no detectable readthrough in the 2026 head-to-head	PMID 20194791 (PNAS 107:4878); PMID 23824517 (PLoS Biol 11:e1001593); PMID 41917975	E6	EU marketing authorisation NOT renewed, expired 28 Mar 2025 (CHMP: effectiveness not confirmed); US NDA resubmission withdrawn 12 Feb 2026. UK MHRA position not re-verified for 2026	Not established	Efficacy not established	REJECT	ChEMBL CHEMBL256997 still shows withdrawn_flag=false and is STALE on the EU non-renewal
A13	A-restore	ELX-02 / exaluren	Designer glycoside TRID	Eukaryotic-ribosome-selective glycoside from the NB124 series	WRONG DISTRIBUTION - renally targeted by design	Ph2b EXACT in Alport recruiting from 30 Jun 2026, age >=12, 0.75 mg/kg SC daily x32wk. CF Ph2 did not meet its endpoints; the widely-cited insufficient-lung-exposure explanation could NOT be sourced to a primary reference (PMID 30650260 and PMID 33465285 are Phase 1 healthy-volunteer studies) - treat the exposure figures as UNCONFIRMED	NCT07523581; PMID 30650260; PMID 33465285	E2	Phase 2b (Alport); CF programme abandoned	No data	Ototoxicity signal at 5.0 mg/kg MAD (confounded by placebo-arm threshold changes); parenteral only	REJECT for MVA	Wrong tissue targeting, no CNS
A14	A-restore	Clitocine	Nucleoside TRID	Incorporated into mRNA; induces readthrough when at position 3 of a PTC	UNCERTAIN - codon preference not established in the primary reference we retrieved	Friesen 2017 shows readthrough requires clitocine at the third position of a PTC; it says nothing about UAA preference. NOTE: clitocine ranked in the SAME top tier as DAP, SRI-41315 and TLN468 in the 2026 head-to-head. It was de-prioritised by the DAP authors over toxicity, which is a general property of RNA incorporation rather than a measured result in the cited paper	PMID 28096517 (RNA 23:567); PMID 41917975	E6	Preclinical, not advanced	Not reported	Mutagenic risk intrinsic to RNA incorporation	HOLD - reconsider if the DAP neurodevelopmental gate cannot be cleared	Usually dismissed on weaker grounds than the evidence supports
A15	A-restore	Escin	Small molecule TRID	Claimed readthrough + NMD inhibition	N/A	NEGATIVE in two independent studies: no SMG1i synergy; no detectable readthrough, and the only compound failing to restore CFTR in every organoid genotype tested	PMID 33396210; PMID 41917975	E6	n/a	n/a	Haemolytic	REJECT	Discount it
A16	A-restore	Amlexanox	Small molecule TRID	Readthrough + partial NMD inhibition; licensed topically	UNCERTAIN - erratic, context-dependent	Best agent in aniridia PAX6 iPSC optic cups; INEFFECTIVE on F5 p.Arg1161Ter; no SMG1i synergy	PMID 37483273; PMID 37866515; PMID 33396210	E5	Licensed topically; systemic use investigational	Not established	Low - good tolerability record	SCREEN (low priority)	Cheap to include in the ex vivo panel
A17	A-restore	CC-90009 / SJ6986 (GSPT1 degraders)	Molecular glue	Cereblon glue degrading GSPT1/eRF3a; secondarily lowers eRF1 and suppresses NMD	MODERATE - not codon-selective; dual readthrough+NMD in one molecule	CC-90009 rescued W1282X-CFTR to ~20% of WT alone; SJ6986 4.6% alone, 13.7% with G418; G542X+G418 43.9%	PMID 33764477 (NAR 49:3692); DOI 10.1172/JCI154571 (JCI 132:e154571)	E6	CC-90009 clinical-stage in AML only	Not established	Both substantially inhibit ENaC, linked to clinical hypotension; degrading a core termination factor systemically in a child	REJECT for paediatric chronic use	Elegant mechanism, unacceptable profile here
A18	A-restore	AP003 (Alltrna)	Suppressor tRNA	Engineered UGA suppressor tRNA inserting Arg, liver-directed LNP	WRONG - would give p.Leu737Arg (charge into a hydrophobic stretch); liver-directed, no CNS	First tRNA therapeutic to enter the clinic; Ph1 SAD healthy volunteers, Australia (TGA CTN), announced 31 Mar 2026	Company announcement 31 Mar 2026; not registered on ClinicalTrials.gov	E2	Phase 1	No	n/a for this use	REJECT for this genotype	Matters as proof the modality reached humans
A19	A-restore	Colistin	Claimed TRID	Unverified	n/a	NONE FOUND - PubMed returns zero results for colistin + readthrough / nonsense suppression	none	unsupported	n/a	n/a	Nephrotoxic, neurotoxic	REJECT - unsupported claim	Appears in some readthrough lists without primary evidence
B01	B-downstream	Low-dose paclitaxel (0.05-0.5 nM)	Microtubule agent	Dampens microtubule plus-end assembly rate, restoring spindle geometry and reducing lagging chromosomes	POOR - wrong mechanism. Ertych's CIN driver is increased plus-end assembly from AURKA overexpression / CHK2 loss; MVA1's driver is SAC loss plus attachment defects from low BubR1	Restored assembly rates and karyotype stability in CIN cancer lines over 30 generations; BUT in the same study CIN suppression ACCELERATED xenograft growth, and sub-nanomolar nocodazole INDUCED CIN in stable cells	PMID 24976383; DOI 10.1038/ncb2994 (Nat Cell Biol 2014)	E6	No in vivo drug experiment exists	Poor	Fully reversible on washout -> indefinite spindle-poison dosing in a SAC-weak child; narrow bidirectional dose window	REJECT	
B02	B-downstream	KIF18A inhibitors - FIVE clinical-stage compounds: VLS-1488; sovilnesib (formerly AMG 650 - one molecule, two NCTs); ATX-295; MEN2501; GenSci122	Kinesin inhibitor	Aneuploid/CIN cells depend on KIF18A; euploid cells do not	INVERTED - designed to kill aneuploid cells; this child's NORMAL tissues are aneuploid	Cohen-Sharir 2021 (~1000 cell lines, CRISPR + drug screens). Company-disclosure only, NOT peer-reviewed: VLS-1488 Ph1/2 50-800 mg QD, no DLTs, MTD not reached	PMID 33505028; NCT05902988, NCT06084416, NCT04293094, NCT06799065, NCT07226427, NCT06772415	E2	Phase 1/2, adults only	Not established	Therapeutic window may invert entirely; sponsor disclosures (company sources only) pair the class with taxanes and nominate p16 IHC as selection biomarker - both adverse here; KIF18A motor variants cause egg aneuploidy and diminished fertility (PMID 39475646)	REJECT as chronic therapy	May be relevant to how a future tumour is treated
B03	B-downstream	AICAR (AMPK/energy stress)	Metabolic	Exploits the metabolic burden of aneuploidy; induces p53-mediated apoptosis in trisomic MEFs	INVERTED - would kill his own aneuploid tissues, including brain and marrow	Tang/Amon 2011	PMID 21315436; DOI 10.1016/j.cell.2011.01.017	E6	No paediatric development	Poor	Marrow, muscle, CNS toxicity by design	REJECT	
B04	B-downstream	HSP90 inhibitors (17-AAG / tanespimycin)	Chaperone inhibitor	Aneuploidy compromises Hsp90 capacity and the proteasome -> proteotoxic stress	INVERTED (as B03)	Tang/Amon 2011; Oromendia 2012	PMID 21315436; PMID 23222101	E6	Development abandoned; ChEMBL109480 max_phase 3, never approved	Poor	Hepatotoxicity	REJECT	
B05	B-downstream	Chloroquine / hydroxychloroquine	Autophagy inhibitor	Aneuploid cells lean on autophagy	HARMFUL - in NON-tumorigenic aneuploid human cells autophagy is protective; inhibiting it increased genomic instability, DNA damage and ROS	Ariyoshi 2016 directly contradicts the cancer-line result for the constitutional setting	PMID 27343755; DOI 10.1016/j.mrfmmm.2016.06.001	E6	Licensed for other uses	Yes	Plausible route to MORE instability	AVOID - strong caution, not a proven contraindication	Evidence is from microcell-transfer single-trisomy immortalised breast epithelial cells, not constitutional mosaic aneuploidy
B06	B-downstream	STING inhibition (H-151)	Innate immune	Blocks micronuclei -> cGAS-STING -> chronic type-I IFN and NF-kB	RATIONAL BUT UNTESTED - biology likely operative, never measured in an MVA patient	EVIDENCE CUTS BOTH WAYS. FOR: Li 2023 Nature reports that treatment with STING inhibitors REDUCES CIN-driven metastasis in melanoma, breast and colorectal models - direct in vivo evidence that STING blockade acts on chromosomal instability. AGAINST: Santaguida 2017 shows complex-karyotype cells recruit their own immune clearance via this pathway. No study in constitutional aneuploidy or MVA	PMID 29342134; PMID 37612508 (for); PMID 28633018 (against)	E4 (cancer models) / E7 (MVA)	No clinical-stage STING antagonist	Not established	Blocking the pathway may preserve pre-malignant aneuploid clones in a cancer-predisposed child	NOT NOW - measure the interferon signature first	Mechanism is not wrong; the risk/benefit in a constitutional setting is unknown and there is nothing to give him
B07	B-downstream	JAK inhibition (tofacitinib / baricitinib)	Immunomodulator	Blunts chronic interferon signalling downstream of constitutional aneuploidy	ANALOGOUS, IMPERFECT - Down syndrome drives IFN via chr21 gene dosage (4 IFN receptors), not via micronuclei	JAK1 inhibition rescued lethal immune hypersensitivity in a DS mouse model; Ph2 trials completed in DS	PMID 33207208; NCT04246372, NCT05662228, NCT07598643	E2 (Down syndrome) / E7 (MVA)	Phase 2 in constitutional aneuploidy	Limited	Immunosuppression and class malignancy warnings in a cancer-predisposition syndrome	HYPOTHESIS - measure the interferon signature first	Strongest symptom-modifying analogue available
B08	B-downstream	MCAK/KIF2C modulation; CENP-E agonism; TUBB3 modulation	Mitotic	Hypothesised error-correction enhancement	n/a	NONE. No CENP-E agonist exists (all chemical matter is inhibitory); MCAK/Kif2b depletion and MCAK overexpression did not alter plus-end assembly rates	PMID 24976383	none	n/a	n/a	n/a	REJECT - purely speculative	Do not present as an option
C01	C-adjacent	NAD+ precursors (NMN, NR)	Supplement / metabolic	Raise NAD+ -> SIRT2 activity -> deacetylation of BubR1 K668 -> less ubiquitin-proteasome degradation -> more BubR1	ATTRACTIVE ON PAPER, FAILS THE TUMOUR GATE	SIRT2 transgenic overexpression extended median lifespan in BubR1-H/H mice (reported +58% overall, +123% males), partially reversed the reduction in heart weight and LV dimensions, prevented J-point depression. BUT NMN itself was given only to WILD-TYPE mice (500 mg/kg/d i.p. x7d, BubR1 measured in testes, no lifespan data), and SIRT2 overexpression has no effect on lifespan in wild-type mice	PMID 24825348 (EMBO J 33:1438); PMID 38009412 (Aging Cell 22:e14027)	E3 (SIRT2 genetic) / E4 (NMN, wrong genotype)	Widely sold supplement	Limited	NR increased cancer prevalence and brain metastasis in a TNBC model (PMID 36371959); NAM/NMN conferred chemoresistance and supported growth in pancreatic models in immunocompetent AND immunodeficient mice (PMID 41724424); NAMPT-NAD+ drives the pro-inflammatory SASP with an explicit precision-use warning (PMID 30778219)	REJECT in a cancer-predisposition child	Mechanistic tension: SIRT2 deacetylates BubR1 at K668 (stabilising) AND K250 (removing the PCAF mark that protects BubR1 from APC/C proteolysis; K243R/+ mice develop tumours with massive missegregation, PMID 23878276)
C02	C-adjacent	Senolytics - dasatinib + quercetin	Senolytic	Clear p16-positive senescent cells	WEAKER THAN IT APPEARS	NEVER tested in a BubR1 mouse. The genetic analogue (INK-ATTAC, AP20187 0.2 ug/g i.p. q3d) delayed lordokyphosis and cataract and preserved fat and muscle in BubR1-H/H, but did NOT substantially extend survival and did NOT attenuate cardiac arrhythmia or arterial stiffening. D+Q evidence is in Ercc1-/D progeroid and naturally aged mice	PMID 22048312 (Nature 479); PMID 25754370; PMID 29988130	E3 (genetic analogue) / E4 (drug, other models)	Investigational; multiple human trials in other indications	Partial	p16-Ink4a germline deletion extended BubR1-H/H median survival 25% but produced SIGNIFICANTLY MORE TUMOURS, 8 of 9 lung adenocarcinoma (PMID 18516091). Reducing p16 tone in a cancer-predisposition syndrome is unproven	REJECT pending direct evidence in a BubR1 model	
C03	C-adjacent	Fisetin	Senolytic / flavonoid supplement	Senolytic in aged mice; ALSO a direct Aurora B inhibitor and antimitotic	ACTIVELY HARMFUL	Identified in a screen as an antimitotic that overrides mitotic arrest; caused premature chromosome segregation and mitotic exit without normal cytokinesis; Aurora B, Bub1, BubR1 and CENP-F rapidly lost kinetochore/centromere localisation	PMID 19395653; DOI 10.1093/carcin/bgp101 (Carcinogenesis 30:1032)	E6	Widely sold supplement	Yes	Delocalises the very protein that is deficient, in a child with a constitutionally weakened SAC	CONTRAINDICATED	
C04	C-adjacent	SIRT2 inhibitors (e.g. SirReal2)	Epigenetic	Selective SIRT2 inhibition	OPPOSITE DIRECTION	Causes destabilisation of BubR1 in cells	PMID 25672491; DOI 10.1038/ncomms7263 (Nat Commun 6:6263)	E6	Research	n/a	Lowers BubR1	CONTRAINDICATED	
C05	C-adjacent	Rapamycin / metformin / caloric restriction / antioxidants / exercise	Geroprotector	Various	UNKNOWN	NONE in any BubR1 model - PubMed returns zero. Nearest signal: monoallelic MVA carriers' sarcopenia predisposition correlated with mTORC1 hyperactivity, but no rapamycin was administered (PMID 31738183). Baker 2013 reportedly found no alteration in ROS in BubR1-overexpressing mice, weakening the antioxidant rationale (ABSTRACT-LEVEL ONLY, full text not retrieved)	PMID 31738183; PMID 23242215	E7	n/a	varies	Unknown	NO EVIDENCE - do not recommend	
D01	D-clinical	Cardiac surveillance (ECG + echocardiography)	Monitoring	Detect the organ failure that the model literature identifies as terminal	DIRECTLY SUPPORTED	Cardiac failure is reported as the presumed cause of death in BubR1-H/H mice and senescent-cell clearance reportedly failed to attenuate cardiac arrhythmia and arterial stiffening (Baker 2011, ABSTRACT-LEVEL ONLY); p16 deletion extended median but not maximum lifespan, authors state the condition causing death was not rescued; the one lifespan-extending intervention (SIRT2) partially reversed the reduction in heart weight and LV dimensions and prevented J-point depression; BubR1 insufficiency drives cardiac hypertrophy, fibrosis and senescence mirroring end-stage human heart failure. NOTE TENSION: the BubR1-H/H mouse has a REDUCED heart, Pun 2025 describes hypertrophy - measure, do not predict	PMID 22048312; PMID 18516091; PMID 24825348; PMID 40607964	E3	Standard clinical tests	n/a	None - non-invasive	RECOMMEND NOW	Absent from current MVA surveillance guidance, which is renal-only (SIOP-Europe HGWG / SIOP-RTSG: 3-monthly renal ultrasound until the 7th birthday)
D02	D-clinical	Contraindication card	Clinical governance	Written record of agents to avoid or dose-reduce, held with the child's notes	DIRECTLY SUPPORTED	Severe adverse reaction to dactinomycin preventing further chemotherapy in a 38-month-old with biallelic BUB1B and bilateral Wilms tumour; deliberate reduced-intensity VAC in an infant with PCS/MVA and vaginal embryonal rhabdomyosarcoma; fatal outcome after graft rejection following RIC HSCT in an 11-year-old with MVA1	PMID 31081598; PMID 31184400; PMID 31053147	E1 (case-level, in MVA)	n/a	n/a	None - informational. Must not be used to withhold or override standard oncology care	RECOMMEND NOW	Covers: dactinomycin/full-intensity chemo, HSCT conditioning and graft-failure risk, spindle poisons, CDK4/6 inhibitors, p53-attenuating agents, MPS1 and Aurora B inhibitors, SIRT2 inhibitors, fisetin, NAD+ precursors, chloroquine, growth hormone. The Aurora B row is mechanism-based (PMID 31264311), not from Cohen-Sharir; the Cohen-Sharir nuance (aneuploid cells LESS sensitive to short-term SAC inhibition) is stated in the card
D03	D-clinical	Chemo/radiosensitivity panel on patient cells	Diagnostic	Clonogenic survival against vincristine, dactinomycin, doxorubicin and ionising radiation	DIRECTLY SUPPORTED	NO published measurement of radiosensitivity or spindle-poison sensitivity in MVA patient cells exists, despite two independent chemotoxicity case reports	gap identified; see PMID 31081598, PMID 31184400	n/a - proposed	n/a	n/a	None	RECOMMEND NOW - cheap, and the highest-value safety experiment for this population	
D04	D-clinical	Growth hormone	Endocrine	Listed for short stature in patient-facing MVA material	HAZARDOUS	MVA1 is a high-penetrance embryonal-tumour predisposition syndrome; no MVA-specific GH safety data exists; growth restriction is partly developmental/mitotic (BubR1-null cortex shows shortened mitosis and apoptotic depletion of progenitors), so GH responsiveness is not assured	PMID 15475955; PMID 30668728	E7	Licensed	n/a	Tumour predisposition	AVOID pending paediatric-endocrine and oncology review	
D05	D-clinical	Renal ultrasound surveillance	Monitoring	Wilms tumour detection	ESTABLISHED STANDARD	SIOP-Europe Host Genome Working Group / SIOP-RTSG Wilms tumour surveillance guideline: 3-monthly renal ultrasound for cytogenetically confirmed MVA until the 7th birthday	SIOP-E HGWG / SIOP-RTSG Wilms tumour surveillance guideline; mvasociety.org 2025	expert consensus	Standard of care	n/a	None	CONTINUE	Neither source addresses cardiac monitoring - see D01
